ServiceName,Total Instances (FKP+EKS),Adopted in Prod,Total Instances on FKP,% of Adoption,Using Mesh
integration-test-service,13,True,2,15.4,92.3
fit-test-twister,13,True,2,15.4,0.0
fit-controller-service,13,True,2,15.4,0.0
sam,9,True,9,100.0,0.0
istio-operator,6,True,6,100.0,100.0
istio-shipping,6,True,6,100.0,100.0
ajnakafka,5,False,0,0.0,0.0
spo,5,True,5,100.0,0.0
ajnakmf,5,False,0,0.0,0.0
ajnaloadmgr,5,False,0,0.0,0.0
hbase,3,True,3,100.0,96.0
ingressassistant,3,True,3,100.0,100.0
ingressgateway,3,True,3,100.0,100.0
istio-ordering,3,True,3,100.0,100.0
istio-copilot,3,True,3,100.0,100.0
mesh-operator,3,True,3,100.0,100.0
istiod,3,True,3,100.0,100.0
istio-metrics-service,3,True,3,100.0,100.0
ajnamirus,2,False,0,0.0,0.0
magister,2,False,0,0.0,0.0
sdbstore,2,False,0,0.0,0.0
sdbarchivalworker,2,False,0,0.0,0.0
sdbzk,2,False,0,0.0,0.0
quantumk,2,False,0,0.0,0.0
eanalytics-ed,1,True,1,100.0,100.0
eanalytics-lowlatency,1,True,1,100.0,100.0
eanalytics-cassandra,1,True,1,100.0,100.0
eaas,1,True,1,100.0,100.0
eanalytics-redis,1,True,1,100.0,100.0
inbound-mta,1,True,1,100.0,100.0
jit,1,False,0,0.0,0.0
eanalytics-batch,1,True,1,100.0,100.0
dbschema-upgrade,1,True,1,100.0,0.0
istio-route-update-service,1,True,1,100.0,100.0
gridforce,1,True,1,100.0,93.3
sfcdekstest1,1,False,0,0.0,0.0
soterfalcon,1,False,0,0.0,0.0
helm-extractor,1,False,0,0.0,0.0
diffeo-extraction,1,True,1,100.0,100.0
sfcd-awsbake,1,False,0,0.0,0.0
ami-perms,1,False,0,0.0,0.0
kaiju,1,False,0,0.0,0.0
funnellogs,1,False,0,0.0,0.0
funnel,1,False,0,0.0,0.0
splunkmadeira,1,False,0,0.0,0.0
diffeo-model,1,True,1,100.0,100.0
diffeo-internal-gateway,1,True,1,100.0,100.0
diffeo-gateway,1,True,1,100.0,100.0
diffeo-accounts,1,True,1,100.0,100.0
stargate,1,False,0,0.0,0.0
strauz,1,False,0,0.0,0.0
airlock-high-eks,1,False,0,0.0,0.0
registry,1,False,0,0.0,0.0
terraform,1,False,0,0.0,0.0
sai-gateway,1,False,0,0.0,0.0
solr-service,1,True,1,100.0,100.0
tentacle,1,False,0,0.0,0.0
ecr-perms,1,False,0,0.0,0.0
fcp-unzip,1,False,0,0.0,0.0
resultng,1,False,0,0.0,0.0
mediaservicefd,1,True,1,100.0,100.0
caasvb,1,True,1,100.0,100.0
fit-results-publisher,1,False,0,0.0,0.0
fit-controller-servicer,1,False,0,0.0,0.0
integration-test-servicer,1,False,0,0.0,0.0
smsapi,1,False,0,0.0,0.0
smscanary,1,False,0,0.0,0.0
smszk,1,False,0,0.0,0.0
kmsinfra,1,False,0,0.0,0.0
ajnaendpoint,1,False,0,0.0,0.0
ajnatopicapi,1,False,0,0.0,0.0
sdb,1,False,0,0.0,0.0
sfcd-cs-funnel-metrics,1,False,0,0.0,0.0
c4ssh,1,False,0,0.0,0.0
pcs-tool,1,False,0,0.0,0.0
pcs-misr,1,False,0,0.0,0.0
pcs-majordomo-operator,1,False,0,0.0,0.0
pcs-majordomo,1,False,0,0.0,0.0
pcs-hogs,1,False,0,0.0,0.0
pcs-gumberoo,1,False,0,0.0,0.0
pcs-arc,1,False,0,0.0,0.0
spinnaker,1,False,0,0.0,0.0
sfcdconfigservice,1,False,0,0.0,0.0
caaspc,1,True,1,100.0,100.0
raphty,1,False,0,0.0,0.0
caas,1,True,1,100.0,100.0
qpid,1,True,1,100.0,100.0
pcs,1,False,0,0.0,0.0
cbatch,1,True,1,100.0,100.0
argo-rollout,1,True,1,100.0,0.0
sequencer,1,True,1,100.0,100.0
coreapp,1,True,1,100.0,100.0
pbsmatch,1,True,1,100.0,100.0
pkiinfra,1,False,0,0.0,0.0
cloudwatchexporter,1,False,0,0.0,0.0
certificateservices,1,False,0,0.0,0.0
sfcdplatform,1,False,0,0.0,0.0
dnr-molokai,1,False,0,0.0,0.0
dnr-airflow,1,False,0,0.0,0.0
dnr-orion,1,False,0,0.0,0.0
dnr-streamingsearch,1,False,0,0.0,0.0
dnr-connector,1,False,0,0.0,0.0
dnr-k2s,1,False,0,0.0,0.0
ami-replicator,1,False,0,0.0,0.0
